Specimen properties : Thickness,5.63,mm
Specimen properties : Width,13.12,mm
Specimen properties : Specimen label,pc-good,
,,
Time,Extension,Load
(s),(mm),(N)
171,11.39855,3472.27148
171.5,11.43189,3472.15576
172,11.46535,3472.50952
172.5,11.49863,3472.66455
173,11.532,3472.84937
173.5,11.56528,3472.73022
174,11.59867,3472.98047
174.5,11.63196,3472.86621
175,11.66539,3473.33105
175.5,11.69868,3473.30396
176,11.73186,3472.99243
176.5,11.76522,3473.09595
177,11.79855,3473.14966
177.5,11.83201,3473.49976
178,11.86529,3473.65894
178.5,11.89869,3473.87646
179,11.93193,3473.83276
179.5,11.96535,3474.12305
180,11.99875,3474.24634
180.5,12.03199,3474.12378
181,12.06529,3474.09326
181.5,12.09847,3473.75635
182,12.1319,3474.07227
182.5,12.16529,3474.26196
183,12.19872,3474.4856
183.5,12.23193,3474.19312
184,12.26524,3474.10376
184.5,12.2987,3474.66357
185,12.332,3474.41284
185.5,12.36539,3474.53174
186,12.39864,3474.23511
186.5,12.43191,3474.08203
187,12.46517,3473.83105
187.5,12.4986,3473.64502
188,12.53195,3473.42261
188.5,12.56535,3473.34302
189,12.59862,3472.62256
189.5,12.63191,3471.87476
190,12.66537,3471.74072
190.5,12.69877,3470.78027
191,12.73206,3469.80273
191.5,12.76518,3467.78662
192,12.79854,3466.01489
192.5,12.83185,3463.23584
193,12.8653,3459.7439
193.5,12.89864,3454.23193
194,12.93192,3441.97266
194.5,12.96529,3425.89697
195,12.99869,3402.13525
195.5,13.03211,3366.61304
196,13.06535,3310.49487
196.5,13.09862,3217.65796
197,13.1318,3061.83667
197.5,13.16529,2792.24854
198,13.19865,2220.31445
198.145,13.20897,-3.552
